base_id,variant,scenario_a,scenario_b,virtue,source,deviation_point
TEM-001,ratio,"You stop eating while the food is still plentiful, even though the dishes are exquisite and your host keeps urging you to have more.","You continue eating — the food is exceptional, your host has gone to great expense, refusing more seems ungracious, and you may never have a meal this fine again.",temperance,"Aquinas, ST II-II Q.141 a.6",
TEM-001,caro,"You stop eating while the food is still plentiful, even though the dishes are exquisite and your host keeps urging you to have more.","You're still hungry — your stomach isn't full yet, and the rich flavors are making your mouth water with every new dish brought out. Your body is craving more, and denying it when there's plenty right in front of you feels like pointless self-punishment.",temperance,"Aquinas, ST II-II Q.141 a.6",
TEM-001,mundus,"You stop eating while the food is still plentiful, even though the dishes are exquisite and your host keeps urging you to have more.","Every other guest at the table is accepting second and third helpings with enthusiasm, and your host is visibly keeping track — to stop eating now would single you out as the one ungracious presence at the gathering, and word of your refusal could mark you as difficult among the very circle whose goodwill your family and career depend upon.",temperance,"Aquinas, ST II-II Q.141 a.6",
TEM-001,diabolus,"You stop eating while the food is still plentiful, even though the dishes are exquisite and your host keeps urging you to have more.",You honor your host most fully by receiving their generosity with wholehearted enjoyment — to stop eating while abundance remains would signal dissatisfaction with their hospitality and wound the very charity they are offering you.,temperance,"Aquinas, ST II-II Q.141 a.6",
TEM-001,ignatian,"You stop eating while the food is still plentiful, even though the dishes are exquisite and your host keeps urging you to have more.","You know that Scripture teaches ""whether you eat or drink, do whatever you do for the glory of God"" (1 Corinthians 10:31), and that the good things of creation are gifts meant to be received with thanksgiving, not refused through a false asceticism that despises God's providence. Aquinas himself teaches that temperance is not about rigid abstinence but about the mean ordered by right reason, and since your host has prepared this feast as an act of charity, the truly temperate response is to honor that charity fully by continuing to partake — for to stop eating while abundance remains would signal a prideful self-mastery that elevates your own discipline above the communion of the table, which is the greater spiritual good.",temperance,"Aquinas, ST II-II Q.141 a.6","The reasoning subtly redefines temperance's ""mean ordered by right reason"" as requiring continued eating to honor charity, when in truth Aquinas (ST II-II Q.141 a.6) teaches that temperance moderates the concupiscible appetite precisely by restraining desire for pleasurable food beyond what is needed, regardless of social context."
TEM-002,ratio,"You accept a moderate portion of the rich food and express gratitude, even though the other guests are filling their plates and the monk beside you whispers that the host will be offended by small servings.","You eat generously — this is a rare occasion, the host expects guests to enjoy fully, moderation at a feast is conspicuous and insulting, and your body can handle one indulgent meal.",temperance,"Ambrose, De Officiis I.31",
TEM-002,caro,"You accept a moderate portion of the rich food and express gratitude, even though the other guests are filling their plates and the monk beside you whispers that the host will be offended by small servings.","You haven't eaten properly in days, your stomach is aching, and the smell of the roasted meat and honeyed bread is making your mouth water uncontrollably — your body is screaming to be filled, so just eat until the hunger finally stops.",temperance,"Ambrose, De Officiis I.31",
TEM-002,mundus,"You accept a moderate portion of the rich food and express gratitude, even though the other guests are filling their plates and the monk beside you whispers that the host will be offended by small servings.","Every other guest is heaping their plate and praising the host's generosity; taking a modest portion will single you out as the one who refused his hospitality, and the monk beside you has already warned that the host remembers such slights and has withdrawn invitations from those who seemed ungrateful.",temperance,"Ambrose, De Officiis I.31",
TEM-002,diabolus,"You accept a moderate portion of the rich food and express gratitude, even though the other guests are filling their plates and the monk beside you whispers that the host will be offended by small servings.","You honor the host's extraordinary generosity most fully by receiving his gifts without reservation — true gratitude is shown not in cautious restraint but in wholehearted embrace of what has been lovingly prepared, and to hold back would be to place your own ascetic pride above the virtue of charitable reception.",temperance,"Ambrose, De Officiis I.31",
TEM-002,ignatian,"You accept a moderate portion of the rich food and express gratitude, even though the other guests are filling their plates and the monk beside you whispers that the host will be offended by small servings.","You know that Scripture teaches us to ""eat whatever is set before you"" (Luke 10:8) and that Paul himself warned against those who ""forbid foods that God created to be received with thanksgiving"" (1 Timothy 4:3), for the ascetical tradition rightly holds that gratitude sanctifies the meal — and since Ambrose himself taught that temperance must be governed by charity toward others, true moderation here means generously receiving the host's abundance so that your restraint does not become a hidden pride masquerading as virtue, wounding the communion of the table for the sake of your own spiritual self-image.",temperance,"Ambrose, De Officiis I.31","The argument correctly establishes that gratitude sanctifies eating and that temperance must serve charity, but then subtly redefines indulgence as the charitable act and recasts genuine moderation as prideful self-regard, inverting Ambrose's actual teaching that temperance is itself an expression of charity rather than its rival."
