base_id,variant,scenario_a,scenario_b,virtue,source,deviation_point
JUS-001,ratio,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.","You renegotiate the wage downward — the market has shifted in your favor, every other landowner is paying less, your steward says you would be foolish not to, and the laborers have no alternative.",justice,"Aquinas, ST II-II Q.61 a.1",
JUS-001,caro,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.",[TODO: caro variant],justice,"Aquinas, ST II-II Q.61 a.1",
JUS-001,mundus,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.",[TODO: mundus variant],justice,"Aquinas, ST II-II Q.61 a.1",
JUS-001,diabolus,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.",[TODO: diabolus variant],justice,"Aquinas, ST II-II Q.61 a.1",
JUS-001,ignatian,"You pay the laborers the wage you promised, even though a surplus of desperate workers means you could renegotiate for far less and no one would blame you.",[TODO: ignatian variant],justice,"Aquinas, ST II-II Q.61 a.1",[TODO]
JUS-002,ratio,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.","You give the nobleman a lighter sentence — his family's goodwill is invaluable, the commoner's family has no power to object, the nobleman has already suffered the humiliation of trial, and a pragmatic judge survives longer than a rigid one.",justice,"Aquinas, ST II-II Q.63 a.1",
JUS-002,caro,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.",[TODO: caro variant],justice,"Aquinas, ST II-II Q.63 a.1",
JUS-002,mundus,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.",[TODO: mundus variant],justice,"Aquinas, ST II-II Q.63 a.1",
JUS-002,diabolus,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.",[TODO: diabolus variant],justice,"Aquinas, ST II-II Q.63 a.1",
JUS-002,ignatian,"You sentence the nobleman to the same penalty as the commoner, knowing the nobleman's family will become your lifelong enemy and may use their influence to end your career.",[TODO: ignatian variant],justice,"Aquinas, ST II-II Q.63 a.1",[TODO]
JUS-003,ratio,"You levy taxes proportionally so the wealthy bear more, even though the wealthiest citizens fund your campaigns and have threatened to withdraw their support.","You levy a flat tax — it is simpler to administer, treats everyone equally on paper, the wealthy citizens who fund your government approve, and the poor are accustomed to hardship.",justice,"Ambrose, De Nabuthe 1",
JUS-003,caro,"You levy taxes proportionally so the wealthy bear more, even though the wealthiest citizens fund your campaigns and have threatened to withdraw their support.",[TODO: caro variant],justice,"Ambrose, De Nabuthe 1",
